,id,stage,spoke,act,text,source,workstream,psych_axis,composite_vb,score
0,569,integration,11,return,"I accept wholeness: light and dark conscious, restrained, and directed.",fight_club_revisited,spiritual,domination_vs_compassion,"[act=return | stage=integration | spoke=11 | source=fight_club_revisited | workstream=spiritual | psych_axis=domination_vs_compassion] :: I accept wholeness: light and dark conscious, restrained, and directed.",0.3856697082519531
1,150,threshold,5,departure,"I accept the deeper layer: to build reality, I must face my own mind.",inception,story,ego_vs_service,"[act=departure | stage=threshold | spoke=5 | source=inception | workstream=story | psych_axis=ego_vs_service] :: I accept the deeper layer: to build reality, I must face my own mind.",0.3463320732116699
2,196,ordeal,8,initiation,I face the part of me that uses art as avoidance; I choose responsibility over romance with chaos.,WAKE,story,ego_vs_discipline,[act=initiation | stage=ordeal | spoke=8 | source=WAKE | workstream=story | psych_axis=ego_vs_discipline] :: I face the part of me that uses art as avoidance; I choose responsibility over romance with chaos.,0.32444560527801514
3,461,integration,11,return,I balance solitude and brotherhood; inner mastery supports outer love.,aragorn,spiritual,certainty_vs_trust,[act=return | stage=integration | spoke=11 | source=aragorn | workstream=spiritual | psych_axis=certainty_vs_trust] :: I balance solitude and brotherhood; inner mastery supports outer love.,0.314578115940094
4,412,allies,6,initiation,Friends mirror the dormant spark in me; desire becomes permission.,dead_poets,lmb,numbness_vs_presence,[act=initiation | stage=allies | spoke=6 | source=dead_poets | workstream=lmb | psych_axis=numbness_vs_presence] :: Friends mirror the dormant spark in me; desire becomes permission.,0.30743521451950073
5,607,ordeal,8,initiation,I meet the mirror: the enemy is my unintegrated will to control.,agent_smith,spiritual,control_vs_autonomy,[act=initiation | stage=ordeal | spoke=8 | source=agent_smith | workstream=spiritual | psych_axis=control_vs_autonomy] :: I meet the mirror: the enemy is my unintegrated will to control.,0.30656030774116516
6,554,approach,7,initiation,"I recognize initiation hunger: without rites, men invent them.",fight_club_revisited,story,practice_vs_fantasy,"[act=initiation | stage=approach | spoke=7 | source=fight_club_revisited | workstream=story | psych_axis=practice_vs_fantasy] :: I recognize initiation hunger: without rites, men invent them.",0.30607685446739197
7,94,integration,11,return,I let my body lead when my mind spirals.,core,core,numbness_vs_presence,[act=return | stage=integration | spoke=11 | source=core | workstream=core | psych_axis=numbness_vs_presence] :: I let my body lead when my mind spirals.,0.3058975040912628
8,130,return,10,return,I choose creation over destruction: rebuild the self without burning the world.,fight_club,story,practice_vs_fantasy,[act=return | stage=return | spoke=10 | source=fight_club | workstream=story | psych_axis=practice_vs_fantasy] :: I choose creation over destruction: rebuild the self without burning the world.,0.3006889224052429
9,339,call,2,departure,"A darker double appears: the part of me shaped by fear, gossip, and projection.",wake_scratch,story,projection_vs_ownership,"[act=departure | stage=call | spoke=2 | source=wake_scratch | workstream=story | psych_axis=projection_vs_ownership] :: A darker double appears: the part of me shaped by fear, gossip, and projection.",0.3001638352870941
10,494,allies,6,initiation,"I find the Qui-Gon archetype: intuition, compassion, and refusal to be owned by bureaucracy.",star_wars,story,structure_vs_freedom,"[act=initiation | stage=allies | spoke=6 | source=star_wars | workstream=story | psych_axis=structure_vs_freedom] :: I find the Qui-Gon archetype: intuition, compassion, and refusal to be owned by bureaucracy.",0.29942405223846436
11,547,tests,6,initiation,"I see my shadow traits as energy to integrate, not an enemy to exile.",fight_club_revisited,lmb,projection_vs_ownership,"[act=initiation | stage=tests | spoke=6 | source=fight_club_revisited | workstream=lmb | psych_axis=projection_vs_ownership] :: I see my shadow traits as energy to integrate, not an enemy to exile.",0.298740029335022
12,539,call,2,departure,A shadow-teacher appears: the part of me that refuses domestication.,fight_club_revisited,story,projection_vs_ownership,[act=departure | stage=call | spoke=2 | source=fight_club_revisited | workstream=story | psych_axis=projection_vs_ownership] :: A shadow-teacher appears: the part of me that refuses domestication.,0.2971383035182953
13,50,allies,6,initiation,I choose environments that match the man I'm becoming.,core,core,mentorship_vs_dependence,[act=initiation | stage=allies | spoke=6 | source=core | workstream=core | psych_axis=mentorship_vs_dependence] :: I choose environments that match the man I'm becoming.,0.2963699698448181
14,613,integration,11,return,"I fly not as escape, but as symbol: consciousness untethered from fear.",matrix_ending,spiritual,fear_vs_action,"[act=return | stage=integration | spoke=11 | source=matrix_ending | workstream=spiritual | psych_axis=fear_vs_action] :: I fly not as escape, but as symbol: consciousness untethered from fear.",0.2948547899723053
15,542,threshold,5,departure,I let my constructed identity burn so something real can breathe.,fight_club_revisited,spiritual,image_vs_integrity,[act=departure | stage=threshold | spoke=5 | source=fight_club_revisited | workstream=spiritual | psych_axis=image_vs_integrity] :: I let my constructed identity burn so something real can breathe.,0.29290735721588135
16,169,allies,6,initiation,I meet strange guides and realize wisdom can look eccentric.,alice,story,attachment_vs_love,[act=initiation | stage=allies | spoke=6 | source=alice | workstream=story | psych_axis=attachment_vs_love] :: I meet strange guides and realize wisdom can look eccentric.,0.2920522093772888
17,69,ordeal,8,initiation,I let old identities die so new ones can form.,core,core,comfort_vs_truth,[act=initiation | stage=ordeal | spoke=8 | source=core | workstream=core | psych_axis=comfort_vs_truth] :: I let old identities die so new ones can form.,0.2898606061935425
18,190,call,2,departure,"A message arrives from the deep: write, or be written by the nightmare.",WAKE,story,comfort_vs_truth,"[act=departure | stage=call | spoke=2 | source=WAKE | workstream=story | psych_axis=comfort_vs_truth] :: A message arrives from the deep: write, or be written by the nightmare.",0.28892672061920166
19,612,return,10,return,"I see the sky change color; the world is still structured, but now I can move within it.",matrix_ending,story,structure_vs_freedom,"[act=return | stage=return | spoke=10 | source=matrix_ending | workstream=story | psych_axis=structure_vs_freedom] :: I see the sky change color; the world is still structured, but now I can move within it.",0.2862747013568878
