id,stage,spoke,act,text,source,workstream,psych_axis
1,refusal,3,departure,I keep waiting for the perfect moment to start.,core,core
2,refusal,3,departure,"I tell myself I'm not ready yet, even though I have enough to begin.",core,core
3,refusal,3,departure,I delay because starting would make my intentions real.,core,core
4,refusal,3,departure,I hide behind planning so I don't have to risk failure.,core,core
5,refusal,3,departure,I keep polishing instead of publishing.,core,core
6,refusal,3,departure,I avoid the next step because it might expose what I actually want.,core,core
7,refusal,3,departure,I pretend I'm busy when I'm really afraid.,core,core
8,refusal,3,departure,I numb out instead of choosing a direction.,core,core
9,refusal,3,departure,I overthink until the moment passes.,core,core
10,refusal,3,departure,I wait for external permission instead of committing.,core,core
11,call,2,departure,Something in me knows the current way of living isn't enough.,core,core
12,call,2,departure,"I feel a pull toward a truer life, even if I can't explain it.",core,core
13,call,2,departure,A new possibility appears and I can't unsee it.,core,core
14,call,2,departure,I sense a mission forming: build something that matters.,core,core
15,call,2,departure,I get a signal—an invitation to level up.,core,core
16,call,2,departure,I feel the discomfort that precedes change.,core,core
17,call,2,departure,I notice a repeating pattern and decide it ends here.,core,core
18,call,2,departure,I see a path where my skills and values align.,core,core
19,call,2,departure,I realize the cost of staying the same is higher than changing.,core,core
20,call,2,departure,I feel a quiet certainty: it's time.,core,core
21,threshold,5,departure,I take one step even while afraid.,core,core
22,threshold,5,departure,I choose action over reassurance.,core,core
23,threshold,5,departure,"I send the message, ship the commit, make the call.",core,core
24,threshold,5,departure,I cross the line from thinking to doing.,core,core
25,threshold,5,departure,I stop negotiating with my fear and move anyway.,core,core
26,threshold,5,departure,I make the first uncomfortable move and survive it.,core,core
27,threshold,5,departure,I accept that imperfect action is the entrance fee.,core,core
28,threshold,5,departure,I begin before confidence arrives.,core,core
29,threshold,5,departure,I commit publicly so I can't retreat easily.,core,core
30,threshold,5,departure,I let momentum replace motivation.,core,core
31,tests,6,initiation,"I hit friction and treat it as feedback, not failure.",core,core
32,tests,6,initiation,I learn by breaking things and fixing them.,core,core
33,tests,6,initiation,I keep iterating instead of quitting.,core,core
34,tests,6,initiation,I notice old triggers and practice staying present anyway.,core,core
35,tests,6,initiation,"I refine the system: smaller steps, clearer inputs.",core,core
36,tests,6,initiation,I get rejected and stay on the path.,core,core
37,tests,6,initiation,I feel resistance and choose discipline.,core,core
38,tests,6,initiation,I stop chasing novelty and do the boring reps.,core,core
39,tests,6,initiation,"I test assumptions with reality, not mood.",core,core
40,tests,6,initiation,I build stamina for uncertainty.,core,core
41,allies,6,initiation,I find people who make the path clearer.,core,core
42,allies,6,initiation,I ask for help without collapsing my self-respect.,core,core
43,allies,6,initiation,I learn from mentors but keep my own compass.,core,core
44,allies,6,initiation,I let supportive people amplify my momentum.,core,core
45,allies,6,initiation,I collaborate without surrendering my agency.,core,core
46,allies,6,initiation,I accept guidance while owning the decisions.,core,core
47,allies,6,initiation,I join a community that raises my standards.,core,core
48,allies,6,initiation,I build tools that help me think better.,core,core
49,allies,6,initiation,"I surround myself with builders, not spectators.",core,core
50,allies,6,initiation,I choose environments that match the man I'm becoming.,core,core
51,approach,7,initiation,I simplify the plan until it's executable.,core,core
52,approach,7,initiation,I focus on the one constraint that unlocks progress.,core,core
53,approach,7,initiation,I remove distractions that keep me fragmented.,core,core
54,approach,7,initiation,I choose a single direction and allocate energy to it.,core,core
55,approach,7,initiation,I structure my day so the important work happens first.,core,core
56,approach,7,initiation,I stop seeking intensity and start seeking consistency.,core,core
57,approach,7,initiation,"I measure progress with outputs, not feelings.",core,core
58,approach,7,initiation,I decide what 'done' looks like before I begin.,core,core
59,approach,7,initiation,I create a repeatable workflow instead of improvising daily.,core,core
60,approach,7,initiation,I move from ambition to implementation.,core,core
61,ordeal,8,initiation,Everything falls apart and I learn what matters.,core,core
62,ordeal,8,initiation,I face the part of me that wants to self-sabotage.,core,core
63,ordeal,8,initiation,I hit a low and choose not to abandon myself.,core,core
64,ordeal,8,initiation,I confront shame without letting it steer.,core,core
65,ordeal,8,initiation,I stop outsourcing my worth and stand on my own.,core,core
66,ordeal,8,initiation,I tolerate discomfort long enough for it to transform.,core,core
67,ordeal,8,initiation,I feel grief and keep moving forward.,core,core
68,ordeal,8,initiation,I accept the cost of growth instead of resenting it.,core,core
69,ordeal,8,initiation,I let old identities die so new ones can form.,core,core
70,ordeal,8,initiation,I discover that I can endure more than I thought.,core,core
71,reward,9,initiation,I get a win that proves the work is real.,core,core
72,reward,9,initiation,I see evidence: the system is producing results.,core,core
73,reward,9,initiation,I feel pride without needing anyone else to validate it.,core,core
74,reward,9,initiation,I notice I'm calmer because I'm aligned.,core,core
75,reward,9,initiation,I earn confidence through repetition.,core,core
76,reward,9,initiation,"I experience competence: I can build, test, ship.",core,core
77,reward,9,initiation,I feel power that comes from integrity.,core,core
78,reward,9,initiation,I recognize that I am becoming reliable to myself.,core,core
79,reward,9,initiation,I enjoy the quiet satisfaction of progress.,core,core
80,reward,9,initiation,I see that my future is being built by my habits.,core,core
81,return,10,return,I bring what I've learned back into daily life.,core,core
82,return,10,return,I stop treating growth as a phase and make it a baseline.,core,core
83,return,10,return,"I integrate the lessons into how I work, love, and live.",core,core
84,return,10,return,I share the framework in a way that helps others.,core,core
85,return,10,return,I turn the insights into a practical tool.,core,core
86,return,10,return,I keep the standards even when no one is watching.,core,core
87,return,10,return,I choose long-term alignment over short-term comfort.,core,core
88,return,10,return,I refine the system so it survives busy weeks.,core,core
89,return,10,return,I build a life that matches the man I claim to be.,core,core
90,return,10,return,I act like the future is already underway.,core,core
91,integration,11,return,I stop performing and start listening to myself.,core,core
92,integration,11,return,I can feel the difference between ego and instinct.,core,core
93,integration,11,return,I respond instead of react.,core,core
94,integration,11,return,I let my body lead when my mind spirals.,core,core
95,integration,11,return,"I treat emotions as signals, not commands.",core,core
96,integration,11,return,I hold boundaries without hostility.,core,core
97,integration,11,return,I choose presence over tactics.,core,core
98,integration,11,return,I trust myself more because I keep promises to myself.,core,core
99,integration,11,return,I can be intense without being compulsive.,core,core
100,integration,11,return,I become congruent: my values and actions match.,core,core
101,elixir,12,return,I return with something useful for others.,core,core
102,elixir,12,return,I turn my story into a tool someone else can use.,core,core
103,elixir,12,return,I explain the path without pretending it's easy.,core,core
